message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"Generic, vague banking template with no specific amounts, OTP, or transaction details — and it's an exact repeat of message_0243 from April 18, signalling low urgency. Batching is appropriate.",0.83,message_0243
msg_091,mute,scam,"The message solicits a 6-digit OTP/login code — a textbook credential-phishing pattern. Historical evidence shows this exact sender sent the identical message on Apr 1 and a password-harvesting message on May 6, confirming a repeat scam actor.",0.97,message_0238;message_0381
msg_090,digest,personal,"Unknown sender with no prior history reaching out about a non-urgent package mix-up. Sender explicitly states no urgency, making this suitable for a later batch summary.",0.82,none
msg_048,mute,scam,"Classic QR-payment scam pattern: urgent threat + immediate payment demand. The same sender (u_053) sent a near-identical ""scan QR, clear access card penalty"" message on June 24 (message_0151), and the group has repeatedly flagged unsolicited QR payment demands as fraudulent (message_0100, message_0237).",0.94,message_0151;message_0152;message_0237;message_0100
msg_040,mute,spam,"Classic chain-blessing forward with forwarded_count=7 (≥5 threshold), explicitly asking users to re-share for ""luck."" Sender u_051 has a prior pattern of identical chain forwards in this group.",0.96,message_0136
msg_075,notify,business_update,"Verified Grab message about an active ride booked today — a pickup/route change is time-sensitive and directly actionable. Not in DND, dismiss rate (36.7%) is well below the fatigue threshold.",0.92,message_0206;message_0205
msg_005,notify,personal,"Time-sensitive pickup deadline (~1.5 hrs) for an item held specifically for the receiver. No safety issues, not in quiet hours, and low dismiss rate.",0.82,message_0049;message_0065
msg_104,notify,personal,"Direct personal message from a known contact with a time-sensitive 6 PM pickup deadline. Active hours, no safety flags, and dismiss rate (49.7%) is below the 60% fatigue threshold.",0.88,message_0383;message_0232
msg_069,mute,spam,"Forwarded 11 times (well above the ≥5 chain-spam threshold) and explicitly instructs recipients to share in all groups — a classic chain message. Sender has a repeated history of identical forwards, and the user has this group muted.",0.96,message_0193;message_0177;message_0194;message_0178
msg_107,mute,scam,Safety checks confirmed prompt injection and phishing content (OTP solicitation). Sender u_050 has a repeated history of identical credential-harvesting scam messages.,0.99,message_0056;message_0369;message_0235
msg_070,mute,scam,Safety check confirmed phishing content — the message uses fear-based urgency to harvest OTP/credentials via a link. Sender u_050 has a documented history of identical credential-phishing messages in this group.,0.98,message_0213;message_0195;message_0045
msg_003,notify,business_update,"Verified Amazon India delivery update during active hours, with the user actively expecting a delivery today (`delivery_expected_today`). No safety flags, no fatigue concerns (35.8% dismiss rate), and zero Amazon dismissals in 30 days make this timely and relevant.",0.82,message_0031;message_0400
msg_099,digest,personal,"Sender explicitly flags ""nothing blocking for tonight"" — action is only needed before tomorrow's 11 AM standup, making a batched digest perfectly timely.",0.87,message_0227
msg_008,digest,business_update,"Message arrives at 06:51, squarely inside the 00:00–07:00 DND window, so a non-urgent request is demoted to digest. This is also at least the 4th identical review-reminder from Hoop (see historical messages), and the user has never responded to any of them.",0.91,message_0296;message_0072;message_0071
msg_092,digest,business_update,"Routine monthly statement notification from verified American Express with no urgency signals — the message itself says ""whenever convenient."" Non-critical business update suitable for batching.",0.84,none
msg_060,notify,event,"Same-day internship deadline reminder sent by a verified group admin in a legitimate university advising channel, with clear time-bound urgency (""portal locks at 5 PM today""). Not during quiet hours and dismiss rate (33.8%) is well below the fatigue threshold.",0.82,message_0284;message_0176;message_0404
msg_004,digest,business_update,"This is an identical generic template previously sent twice (message_0245, message_0005) with no specific actionable detail — vague enough across appointment/prescription/claim/pickup to safely batch rather than interrupt.",0.82,message_0245;message_0005
msg_030,mute,promotion,The user has explicitly muted this group (group_muted_by_user=1). This is also a near-duplicate marketplace listing — the same sender posted almost identical kurta-sale content just 10 days ago (message_0115).,0.93,message_0115
msg_045,notify,urgent,"Time-critical delivery notification requiring action within 10 minutes to avoid a missed Amazon package. Outside DND hours, no safety flags, dismiss rate (35.8%) is well below the fatigue threshold, and the sender has a history of posting legitimate building notices in this group.",0.87,message_0146;message_0145
